id_jogador,epoca,dias_parado_max,carga_lesao_historica,num_lesoes,posicao,nacionalidade,idade_atual,risco_lesao,dias_descanso_media,jogos_fase_grupos,altitude_media,idade_x_jogos,idade_x_altitude,descanso_relativo,risco_biomecanico
18,18/19,11,11,1,Attacking Midfield,"Argentina,Italy",30.0,0,,,,,,,3.0
19,16/17,8,8,1,Defensive Midfield,Germany,29.0,0,,,,,,,4.0
19,20/21,62,62,1,Defensive Midfield,Germany,34.0,1,,,,,,,4.0
19,22/23,28,36,2,Defensive Midfield,Germany,35.0,1,,,,,,,4.0
20,08/09,64,102,3,Goalkeeper,Germany,20.0,1,,,,,,,1.0
20,10/11,19,19,1,Goalkeeper,Germany,22.0,1,,,,,,,1.0
20,14/15,22,22,1,Goalkeeper,Germany,26.0,1,,,,,,,1.0
20,19/20,40,40,1,Goalkeeper,Germany,31.0,1,,,,,,,1.0
20,21/22,8,8,1,Goalkeeper,Germany,33.0,0,,,,,,,1.0
20,22/23,15,40,4,Goalkeeper,Germany,34.0,1,,,,,,,1.0
21,16/17,16,16,1,Centre-Back,Italy,24.0,1,,,,,,,3.0
21,17/18,46,93,3,Centre-Back,Italy,25.0,1,,,,,,,3.0
21,19/20,6,11,2,Centre-Back,Italy,28.0,0,,,,,,,3.0
21,20/21,15,22,2,Centre-Back,Italy,28.0,1,,,,,,,3.0
21,22/23,22,36,2,Centre-Back,Italy,30.0,1,,,,,,,3.0
21,23/24,69,85,3,Centre-Back,Italy,31.0,1,,,,,,,3.0
22,16/17,20,37,3,Right-Back,Italy,28.0,1,,,,,,,4.0
22,18/19,15,27,2,Right-Back,Italy,30.0,1,,,,,,,4.0
22,19/20,32,40,2,Right-Back,Italy,31.0,1,,,,,,,4.0
22,20/21,13,20,2,Right-Back,Italy,32.0,0,,,,,,,4.0
22,21/22,24,57,3,Right-Back,Italy,33.0,1,,,,,,,4.0
22,23/24,15,28,2,Right-Back,Italy,35.0,1,,,,,,,4.0
23,12/13,8,8,1,Goalkeeper,Italy,24.0,0,,,,,,,1.0
23,16/17,88,88,1,Goalkeeper,Italy,28.0,1,,,,,,,1.0
23,22/23,35,35,1,Goalkeeper,Italy,34.0,1,,,,,,,1.0
24,13/14,26,26,1,Goalkeeper,"Bosnia-Herzegovina,Canada",26.0,1,,,,,,,1.0
24,18/19,14,14,1,Goalkeeper,"Bosnia-Herzegovina,Canada",30.0,0,,,,,,,1.0
24,20/21,5,5,1,Goalkeeper,"Bosnia-Herzegovina,Canada",33.0,0,,,,,,,1.0
25,17/18,203,203,1,Goalkeeper,England,31.0,1,,,,,,,1.0
25,18/19,64,64,1,Goalkeeper,England,32.0,1,,,,,,,1.0
25,19/20,312,327,2,Goalkeeper,England,33.0,1,,,,,,,1.0
25,22/23,61,61,1,Goalkeeper,England,36.0,1,,,,,,,1.0
25,23/24,39,39,1,Goalkeeper,England,37.0,1,,,,,,,1.0
26,12/13,15,15,1,Centre-Back,"Belgium,Martinique",23.0,1,,,,,,,3.0
26,18/19,15,19,2,Centre-Back,"Belgium,Martinique",29.0,1,,,,,,,3.0
26,19/20,25,55,3,Centre-Back,"Belgium,Martinique",30.333333333333332,1,,,,,,,3.0
26,21/22,8,8,1,Centre-Back,"Belgium,Martinique",33.0,0,,,,,,,3.0
26,23/24,13,13,1,Centre-Back,"Belgium,Martinique",35.0,0,,,,,,,3.0
27,08/09,83,87,2,Goalkeeper,Germany,18.5,1,,,,,,,1.0
27,13/14,63,63,1,Goalkeeper,Germany,23.0,1,,,,,,,1.0
27,14/15,109,109,1,Goalkeeper,Germany,24.0,1,,,,,,,1.0
27,15/16,15,15,1,Goalkeeper,Germany,26.0,1,,,,,,,1.0
